modelo,estrategia,f1_macro,f1_afectada,f1_normal,f1_riesgo
XGBoost,class_weight,0.8385857939807412,0.9152542372881356,0.8805031446540881,0.72
XGBoost,smote,0.8285135709903378,0.9152542372881356,0.8860759493670886,0.6842105263157895
XGBoost,sin_balanceo,0.8235452950910992,0.921161825726141,0.8734177215189873,0.676056338028169
RandomForest,class_weight,0.8229408072352746,0.9159663865546218,0.8679245283018868,0.684931506849315
LogReg,sin_balanceo,0.8127831423816824,0.9344262295081968,0.8662420382165605,0.6376811594202898
RandomForest,smote,0.8035594051351266,0.8820960698689956,0.8774193548387097,0.6511627906976745
RandomForest,sin_balanceo,0.8014376465605059,0.907563025210084,0.8481012658227848,0.6486486486486487
XGBoost,undersampling,0.7975062170987116,0.8767123287671232,0.8627450980392157,0.6530612244897959
LogReg,smote,0.7659313533626624,0.8888888888888888,0.8344370860927153,0.574468085106383
LogReg,class_weight,0.750383138286613,0.8767123287671232,0.8344370860927153,0.54
RandomForest,undersampling,0.7389503388233599,0.8207547169811321,0.8456375838926175,0.5504587155963303
LogReg,undersampling,0.732020273304677,0.8807339449541285,0.7832167832167832,0.5321100917431193
