variable_original,feature_importance_nativa,shap_importancia,rank_nativa,rank_shap
zona_vulnerable_nitratos,0.072323464,0.9578503,4.0,1.0
anio,0.0072799157,0.35646,23.0,2.0
altitud_dem_m,0.025951529,0.30839026,9.0,3.0
soil_cec_5_15cm,0.01984812,0.21625002,12.0,4.0
soil_clay_15_30cm,0.012971181,0.21438421,15.0,5.0
sigpac_pendiente_pct,0.007383079,0.20787913,22.0,6.0
dist_estacion_m,0.007839313,0.1969372,21.0,7.0
anomalia_temp,0.004913932,0.19605327,33.0,8.0
soil_clay_5_15cm,0.026737504,0.18893175,8.0,9.0
precip_30d,0.0044815037,0.18661474,36.0,10.0
ndvi_anio_observacion,0.004087921,0.17822087,38.0,11.0
temp_media_30d,0.0034501432,0.16422725,42.0,12.0
soil_clay_0_5cm,0.03001261,0.1556573,7.0,13.0
precip_7d,0.002992945,0.15560295,47.0,14.0
precip_15d,0.004325186,0.14766914,37.0,15.0
ndvi_cambio_periodo,0.0052120467,0.1303826,30.0,16.0
mes,0.0049683377,0.12214366,32.0,17.0
tmed,0.0030923877,0.10818988,46.0,18.0
soil_wv1500_15_30cm,0.021891499,0.10441496,10.0,19.0
temp_media_7d,0.0038579672,0.10220256,40.0,20.0
y_utm30,0.010763393,0.097803764,16.0,21.0
soil_wv1500_5_15cm,0.021237252,0.094141595,11.0,22.0
soil_wv0033_0_5cm,0.0063842363,0.085428394,24.0,23.0
ndvi_2016,0.0028042085,0.085363954,48.0,24.0
ndvi_2025,0.002264766,0.08139759,53.0,25.0
clc2012_agricola,0.0057448563,0.07828615,27.0,26.0
prec,0.0035147723,0.07722004,41.0,27.0
sigpac_superficie_m2,0.009735805,0.0745764,18.0,28.0
soil_silt_0_5cm,0.013168791,0.071119666,14.0,29.0
soil_phh2o_15_30cm,0.008687838,0.06349883,19.0,30.0
x_utm30,0.010285748,0.06218602,17.0,31.0
soil_cec_0_5cm,0.0056456816,0.05890966,28.0,32.0
municipio,0.19531383,0.058842797,1.0,33.0
soil_cec_15_30cm,0.006225293,0.056527067,25.0,34.0
sigpac_uso_nombre,0.1357806,0.053695038,2.0,35.0
naturaleza,0.005975081,0.05144511,26.0,36.0
clc2012_nombre,0.12124192,0.050377738,3.0,37.0
soil_wv0033_15_30cm,0.003245516,0.044394374,45.0,38.0
soil_silt_15_30cm,0.0021129414,0.043139998,56.0,39.0
ndvi_max_periodo,0.0033727041,0.040976275,43.0,40.0
soil_soc_15_30cm,0.0046534007,0.039306115,35.0,41.0
soil_phh2o_0_5cm,0.0025839512,0.03903782,49.0,42.0
soil_wv1500_0_5cm,0.003259691,0.03207663,44.0,43.0
soil_soc_5_15cm,0.001543821,0.03168278,60.0,44.0
soil_sand_15_30cm,0.008220419,0.02965117,20.0,45.0
red,0.005510782,0.028668659,29.0,46.0
soil_sand_5_15cm,0.0012594013,0.028534474,62.0,47.0
ndvi_2021,0.03223733,0.026375405,6.0,48.0
ndvi_2020,0.013416708,0.025383761,13.0,49.0
ndvi_min_periodo,0.0022269264,0.024996087,54.0,50.0
soil_phh2o_5_15cm,0.04401084,0.019553497,5.0,51.0
ndvi_2017,0.0013214032,0.018724998,61.0,52.0
ndvi_2024,0.0024863689,0.018645106,50.0,53.0
soil_sand_0_5cm,0.004065044,0.017694077,39.0,54.0
soil_silt_5_15cm,0.00093564217,0.017449806,63.0,55.0
soil_soc_0_5cm,0.0047730505,0.017131371,34.0,56.0
ndvi_2015,0.0020277805,0.016589234,58.0,57.0
soil_wv0033_5_15cm,0.0051377355,0.01335718,31.0,58.0
ndvi_2018,0.0023662597,0.011631119,52.0,59.0
sigpac_coef_regadio,0.0007005404,0.01108979,65.0,60.0
ndvi_2019,0.0024294201,0.0109410705,51.0,61.0
ndvi_media_periodo,0.0021709152,0.009631778,55.0,62.0
ndvi_2023,0.0017185604,0.009565623,59.0,63.0
ndvi_2022,0.0006415232,0.0068231844,66.0,64.0
altitud,0.0020958693,0.005885454,57.0,65.0
sigpac_es_agricola,0.00022226827,0.0014091328,67.0,66.0
evento_extremo_lluvia,0.0008585538,0.0014071972,64.0,67.0
sigpac_coef_regadio_nulo,0.0,0.0,71.0,71.0
lon,0.0,0.0,71.0,71.0
lat,0.0,0.0,71.0,71.0
dist_sigpac_m,0.0,0.0,71.0,71.0
clc2018_nombre,0.0,0.0,71.0,71.0
clc2018_agricola,0.0,0.0,71.0,71.0
cambio_clc_2012_2018,0.0,0.0,71.0,71.0
